Kobe Bryant
Mar 31 	@  CHA 	L 84 - 94 	33 	3 - 4 	0 - 0 	0 - 0 	0 	1 	1 	1 	2 	0 	1 	2 	6
Mar 29 	@ ATL 	L 76 - 86 	30 	3 - 11 	1 - 3 	1 - 1 	0 	3 	3 	0 	0 	0 	0 	3 	8
Mar 27 	@ NJN 	W 103 - 95 	31 	8 - 12 	2 - 5 	0 - 0 	1 	1 	2 	4 	0 	0 	0 	0 	18
Mar 26 	@ DET 	W 92 - 77 	31 	5 - 13 	3 - 7 	2 - 3 	0 	2 	2 	2 	0 	0 	0 	0 	15
Mar 24 	@ OKC 	W 107 - 89 	21 	4 - 5 	1 - 1 	2 - 2 	0 	1 	1 	5 	1 	0 	0 	1 	11
Mar 21 	@ CHI 	W 117 - 109 	24 	2 - 7 	1 - 3 	0 - 0 	1 	2 	3 	2 	1 	0 	0 	3 	5
Mar 19 	vs. GSW 	W 114 - 106 	18 	4 - 6 	2 - 2 	1 - 1 	0 	2 	2 	2 	0 	0 	0 	2 	11
Mar 17 	vs. PHI 	L 93 - 94 	33 	3 - 9 	1 - 4 	2 - 2 	0 	4 	4 	5 	0 	0 	2 	0 	9
Mar 15 	vs. DAL 	W 107 - 100 	31 	2 - 5 	1 - 3 	1 - 2 	0 	4 	4 	6 	0 	0 	1 	3 	6
Mar 12 	@ SAS 	W 102 - 95 	32 	4 - 9 	2 - 5 	0 - 0 	0 	0 	0 	0 	0 	0 	0 	3 	10
Mar 11 	@ HOU 	W 102 - 96 	32 	3 - 9 	0 - 3 	2 - 2 	0 	3 	3 	2 	1 	0 	1 	2 	8
Mar 09 	@ POR 	L 94 - 111 	24 	1 - 3 	1 - 2 	2 - 2 	0 	0 	0 	1 	0 	0 	0 	4 	5
Mar 06 	vs. MIN 	W 110 - 90 	24 	5 - 7 	2 - 3 	0 - 0 	0 	2 	2 	2 	1 	0 	0 	1 	12
Mar 03 	vs. MEM 	W 99 - 89 	27 	4 - 5 	2 - 2 	1 - 1 	0 	0 	0 	3 	0 	1 	0 	2 	11
Mar 01 	@ PHX 	L 111 - 118 	30 	1 - 7 	1 - 5 	0 - 0 	0 	4 	4 	1 	0 	0 	2 	1 	3
Didier Ilunga-Mbenga
Mar 31 	@  CHA 	L 84 - 94 	2 	0 - 2 	0 - 0 	0 - 0 	0 	0 	0 	0 	0 	1 	0 	0 	0
Mar 29 	@ ATL 	L 76 - 86 	6 	1 - 1 	0 - 0 	0 - 0 	0 	1 	1 	0 	0 	2 	1 	1 	2
Mar 27 	@ NJN 	W 103 - 95 	3 	1 - 3 	0 - 0 	0 - 0 	1 	1 	2 	0 	0 	0 	0 	2 	2
Mar 26 	@ DET 	W 92 - 77 	7 	1 - 3 	0 - 0 	0 - 0 	0 	0 	0 	0 	0 	0 	0 	2 	2
Mar 24 	@ OKC 	W 107 - 89 	14 	0 - 4 	0 - 0 	2 - 2 	0 	2 	2 	0 	2 	2 	1 	0 	2
Mar 21 	@ CHI 	W 117 - 109 	5 	1 - 1 	0 - 0 	0 - 0 	1 	2 	3 	0 	0 	0 	0 	0 	2
Mar 19 	vs. GSW 	W 114 - 106 	7 	0 - 0 	0 - 0 	0 - 0 	1 	1 	2 	0 	0 	1 	3 	1 	0
Mar 17 	vs. PHI 	L 93 - 94 	2 	0 - 0 	0 - 0 	0 - 0 	0 	0 	0 	0 	0 	0 	0 	0 	0
Mar 15 	vs. DAL 	W 107 - 100 	4 	1 - 2 	0 - 0 	0 - 0 	0 	1 	1 	0 	0 	0 	1 	1 	2
Mar 12 	@ SAS 	W 102 - 95 	6 	2 - 2 	0 - 0 	0 - 0 	0 	4 	4 	0 	1 	0 	0 	1 	4
Mar 11 	@ HOU 	W 102 - 96 	4 	0 - 0 	0 - 0 	0 - 0 	0 	1 	1 	0 	0 	1 	0 	1 	0
Mar 09 	@ POR 	L 94 - 111 	16 	3 - 4 	0 - 0 	2 - 2 	2 	1 	3 	4 	2 	1 	0 	2 	8
Mar 06 	vs. MIN 	W 110 - 90 	17 	4 - 5 	0 - 0 	2 - 2 	1 	3 	4 	0 	0 	5 	1 	3 	10
Mar 03 	vs. MEM 	W 99 - 89 	19 	2 - 5 	0 - 0 	0 - 0 	2 	0 	2 	0 	1 	3 	0 	4 	4
Mar 01 	@ PHX 	L 111 - 118 	7 	0 - 1 	0 - 0 	0 - 0 	0 	0 	0 	0 	3 	0 	2 	1 	0
Adam Morrison
Mar 24 	@  OKC 	W 107 - 89 	5 	0 - 1 	0 - 0 	0 - 0 	0 	0 	0 	0 	0 	0 	0 	0 	0
Mar 09 	@ POR 	L 94 - 111 	3 	2 - 2 	0 - 0 	0 - 0 	0 	1 	1 	0 	0 	0 	1 	0 	4
Mar 06 	vs. MIN 	W 110 - 90 	8 	0 - 1 	0 - 0 	0 - 0 	0 	2 	2 	1 	0 	0 	0 	1 	0
Josh Powell
Mar 31 	@  CHA 	L 84 - 94 	10 	0 - 3 	0 - 0 	0 - 0 	1 	2 	3 	0 	1 	0 	0 	1 	0
Mar 29 	@ ATL 	L 76 - 86 	17 	0 - 4 	0 - 0 	3 - 4 	2 	4 	6 	2 	0 	1 	1 	2 	3
Mar 27 	@ NJN 	W 103 - 95 	5 	0 - 1 	0 - 0 	0 - 0 	0 	0 	0 	0 	0 	0 	1 	1 	0
Mar 26 	@ DET 	W 92 - 77 	5 	1 - 3 	0 - 0 	0 - 0 	2 	0 	2 	0 	0 	0 	2 	1 	2
Mar 24 	@ OKC 	W 107 - 89 	21 	5 - 11 	0 - 0 	4 - 4 	1 	2 	3 	1 	0 	0 	2 	1 	14
Mar 21 	@ CHI 	W 117 - 109 	14 	1 - 4 	0 - 0 	0 - 0 	0 	1 	1 	1 	0 	1 	2 	1 	2
Mar 19 	vs. GSW 	W 114 - 106 	16 	3 - 8 	0 - 0 	1 - 1 	1 	3 	4 	1 	0 	0 	2 	2 	7
Mar 17 	vs. PHI 	L 93 - 94 	13 	2 - 3 	0 - 0 	0 - 0 	2 	3 	5 	1 	0 	1 	2 	3 	4
Mar 15 	vs. DAL 	W 107 - 100 	16 	0 - 2 	0 - 0 	2 - 2 	1 	4 	5 	0 	0 	0 	0 	2 	2
Mar 12 	@ SAS 	W 102 - 95 	14 	2 - 6 	0 - 0 	0 - 0 	1 	2 	3 	1 	0 	0 	1 	0 	4
Mar 11 	@ HOU 	W 102 - 96 	35 	8 - 14 	0 - 0 	1 - 2 	3 	6 	9 	0 	1 	0 	2 	4 	17
Mar 09 	@ POR 	L 94 - 111 	22 	1 - 3 	0 - 0 	0 - 0 	2 	1 	3 	2 	0 	0 	1 	3 	2
Mar 06 	vs. MIN 	W 110 - 90 	19 	6 - 11 	0 - 0 	2 - 2 	3 	3 	6 	1 	0 	1 	0 	4 	14
Mar 03 	vs. MEM 	W 99 - 89 	18 	4 - 8 	0 - 0 	0 - 0 	4 	4 	8 	2 	1 	1 	3 	0 	8
Mar 01 	@ PHX 	L 111 - 118 	16 	2 - 2 	0 - 0 	2 - 2 	1 	2 	3 	1 	0 	1 	0 	2 	6
Sasha Vujacic
Mar 31 	@  CHA 	L 84 - 94 	12 	1 - 5 	0 - 2 	1 - 1 	0 	0 	0 	0 	0 	0 	0 	2 	3
Mar 29 	@ ATL 	L 76 - 86 	21 	0 - 4 	0 - 2 	0 - 0 	0 	2 	2 	0 	1 	0 	0 	0 	0
Mar 27 	@ NJN 	W 103 - 95 	14 	1 - 5 	1 - 4 	0 - 0 	1 	1 	2 	1 	3 	0 	0 	1 	3
Mar 26 	@ DET 	W 92 - 77 	13 	1 - 4 	1 - 2 	0 - 0 	0 	2 	2 	0 	1 	0 	0 	1 	3
Mar 24 	@ OKC 	W 107 - 89 	15 	1 - 6 	0 - 1 	0 - 0 	0 	1 	1 	1 	1 	0 	1 	0 	2
Mar 21 	@ CHI 	W 117 - 109 	18 	2 - 3 	1 - 1 	0 - 0 	2 	0 	2 	2 	1 	0 	0 	4 	5
Mar 19 	vs. GSW 	W 114 - 106 	17 	4 - 4 	2 - 2 	2 - 2 	0 	3 	3 	2 	0 	1 	1 	2 	12
Mar 17 	vs. PHI 	L 93 - 94 	14 	2 - 4 	1 - 2 	0 - 0 	0 	1 	1 	2 	0 	0 	1 	1 	5
Mar 15 	vs. DAL 	W 107 - 100 	9 	1 - 6 	0 - 4 	0 - 0 	0 	0 	0 	0 	1 	0 	1 	0 	2
Mar 12 	@ SAS 	W 102 - 95 	12 	2 - 2 	0 - 0 	2 - 2 	0 	2 	2 	1 	0 	0 	0 	3 	6
Mar 11 	@ HOU 	W 102 - 96 	18 	1 - 4 	0 - 0 	0 - 0 	0 	2 	2 	0 	2 	0 	1 	2 	2
Mar 09 	@ POR 	L 94 - 111 	15 	1 - 3 	0 - 2 	0 - 0 	2 	1 	3 	3 	1 	0 	0 	3 	2
Mar 06 	vs. MIN 	W 110 - 90 	17 	3 - 7 	2 - 4 	0 - 0 	0 	3 	3 	0 	1 	0 	1 	2 	8
Mar 03 	vs. MEM 	W 99 - 89 	18 	5 - 9 	1 - 3 	0 - 0 	1 	2 	3 	4 	3 	0 	0 	5 	11
Mar 01 	@ PHX 	L 111 - 118 	14 	2 - 6 	2 - 4 	0 - 0 	1 	3 	4 	0 	0 	0 	0 	2 	6
Luke Walton
Mar 31 	@  CHA 	L 84 - 94 	22 	3 - 9 	0 - 1 	0 - 0 	1 	4 	5 	6 	1 	0 	1 	1 	6
Mar 29 	@ ATL 	L 76 - 86 	16 	3 - 4 	0 - 0 	0 - 0 	1 	2 	3 	1 	0 	0 	2 	0 	6
Mar 27 	@ NJN 	W 103 - 95 	12 	2 - 3 	0 - 0 	0 - 0 	0 	3 	3 	1 	0 	0 	1 	1 	4
Mar 26 	@ DET 	W 92 - 77 	19 	1 - 2 	0 - 0 	2 - 2 	0 	1 	1 	1 	0 	0 	1 	1 	4
Mar 24 	@ OKC 	W 107 - 89 	18 	5 - 6 	1 - 2 	0 - 0 	0 	2 	2 	3 	1 	0 	0 	1 	11
Mar 21 	@ CHI 	W 117 - 109 	9 	2 - 4 	0 - 0 	1 - 1 	0 	2 	2 	2 	1 	0 	0 	0 	5
Mar 19 	vs. GSW 	W 114 - 106 	18 	4 - 6 	1 - 1 	0 - 0 	0 	2 	2 	2 	1 	0 	2 	2 	9
Mar 17 	vs. PHI 	L 93 - 94 	13 	2 - 5 	0 - 0 	0 - 0 	0 	1 	1 	2 	0 	0 	1 	0 	4
Mar 15 	vs. DAL 	W 107 - 100 	16 	0 - 3 	0 - 0 	0 - 2 	2 	3 	5 	1 	1 	0 	4 	2 	0
Mar 12 	@ SAS 	W 102 - 95 	19 	3 - 6 	0 - 0 	0 - 0 	2 	2 	4 	1 	1 	0 	1 	0 	6
Mar 11 	@ HOU 	W 102 - 96 	24 	3 - 7 	0 - 2 	2 - 4 	1 	4 	5 	2 	0 	0 	0 	2 	8
Mar 09 	@ POR 	L 94 - 111 	25 	1 - 4 	0 - 1 	0 - 0 	0 	0 	0 	3 	1 	0 	0 	1 	2
Mar 06 	vs. MIN 	W 110 - 90 	20 	1 - 6 	0 - 0 	0 - 0 	1 	1 	2 	4 	1 	0 	1 	0 	2
Mar 03 	vs. MEM 	W 99 - 89 	25 	4 - 6 	0 - 0 	2 - 2 	3 	1 	4 	4 	0 	0 	2 	0 	10
Mar 01 	@ PHX 	L 111 - 118 	28 	2 - 6 	0 - 1 	0 - 0 	2 	0 	2 	2 	2 	0 	3 	4 	4
Jose Barea
Mar 31 	@  MIN 	W 108 - 88 	28 	4 - 7 	1 - 1 	0 - 0 	0 	4 	4 	5 	1 	0 	2 	0 	9
Mar 29 	@ CLE 	L 74 - 102 	26 	2 - 7 	0 - 2 	0 - 0 	0 	3 	3 	2 	0 	0 	2 	1 	4
Mar 27 	vs. DEN 	L 101 - 103 	30 	8 - 12 	5 - 7 	1 - 2 	0 	2 	2 	4 	2 	1 	1 	2 	22
Mar 25 	vs. GSW 	W 128 - 106 	29 	8 - 13 	0 - 2 	4 - 4 	0 	3 	3 	7 	4 	0 	2 	4 	20
